Country Code,Year,Value
AFE,2021,65.07847216
AFE,2020,65.83646522
AFE,2019,66.2197263
AFE,2018,65.82810709
AFE,2017,65.3040097
AFE,2016,64.86779082
AFE,2015,64.19112513
AFE,2014,63.64117731
AFE,2013,62.93590022
AFE,2012,62.14798379
AFE,2011,61.30028814
AFE,2010,60.30967462
AFE,2009,59.45095277
AFE,2008,58.37938649
AFE,2007,57.53125655
AFE,2006,56.67129528
AFE,2005,55.71769736
AFE,2004,55.02003709
AFE,2003,54.4953653
AFE,2002,54.10487203
AFE,2001,53.77262631
AFE,2000,53.66220755
AFE,1999,53.39611393
AFE,1998,52.62074815
AFE,1997,53.03858173
AFE,1996,52.96035917
AFE,1995,53.18983678
AFE,1994,53.03213224
AFE,1993,52.73532522
AFE,1992,52.36784845
AFE,1991,52.74605513
AFE,1990,53.06583955
AFE,1989,53.08071898
AFE,1988,51.98749759
AFE,1987,52.59736337
AFE,1986,52.00564101
AFE,1985,51.34797651
AFE,1984,51.01596676
AFE,1983,50.89751396
AFE,1982,52.49340316
AFE,1981,52.22195377
AFE,1980,51.71798435
AFE,1979,51.36497204
AFE,1978,50.92937191
AFE,1977,50.6851958
AFE,1976,50.33142633
AFE,1975,49.61900931
AFE,1974,49.48796892
AFE,1973,49.59700212
AFE,1972,48.91536422
AFE,1971,49.20651209
AFE,1970,48.68132697
AFE,1969,48.39889852
AFE,1968,48.1519718
AFE,1967,47.84522502
AFE,1966,47.11829133
AFE,1965,47.42047397
AFE,1964,47.35016157
AFE,1963,46.77237014
AFE,1962,46.4793255
AFE,1961,46.11873745
AFE,1960,45.70738061
AFW,2021,58.09982774
AFW,2020,58.34623979
AFW,2019,58.54597904
AFW,2018,58.11324772
AFW,2017,57.842236
AFW,2016,57.448601
AFW,2015,57.16432389
AFW,2014,56.88093468
AFW,2013,56.6172635
AFW,2012,56.2607088
AFW,2011,55.92535595
AFW,2010,55.44060717
AFW,2009,55.07711119
AFW,2008,54.53774554
AFW,2007,54.24670473
AFW,2006,53.83159449
AFW,2005,53.39750452
AFW,2004,52.89031209
AFW,2003,52.52457948
AFW,2002,52.03391606
AFW,2001,51.67646905
AFW,2000,51.38252846
AFW,1999,51.00462819
AFW,1998,50.59224594
AFW,1997,50.50699538
AFW,1996,50.34940605
AFW,1995,50.23282807
AFW,1994,50.1306698
AFW,1993,50.32930331
AFW,1992,50.25557714
AFW,1991,50.16276387
AFW,1990,50.22901109
AFW,1989,50.14994578
AFW,1988,49.95865855
AFW,1987,49.7337994
AFW,1986,49.4195454
AFW,1985,49.3998563
AFW,1984,49.261311
AFW,1983,49.11707962
AFW,1982,48.85878081
AFW,1981,48.60773305
AFW,1980,48.37122717
AFW,1979,48.00405722
AFW,1978,47.59242513
AFW,1977,46.96862278
AFW,1976,46.18790314
AFW,1975,45.31772745
AFW,1974,44.57037487
AFW,1973,43.92174339
AFW,1972,43.36627527
AFW,1971,42.67802064
AFW,1970,42.21369592
AFW,1969,41.79031334
AFW,1968,41.57192761
AFW,1967,41.00349782
AFW,1966,41.03609804
AFW,1965,40.8449384
AFW,1964,40.60988778
AFW,1963,40.28346831
AFW,1962,39.93535409
AFW,1961,39.70428388
AFW,1960,39.38463802
ARB,2021,72.98969421
ARB,2020,73.11271122
ARB,2019,73.93930977
ARB,2018,73.84237696
ARB,2017,73.73231985
ARB,2016,73.22839854
ARB,2015,72.89028085
ARB,2014,72.73070685
ARB,2013,72.42624873
ARB,2012,72.34113705
ARB,2011,72.32035791
ARB,2010,72.08711066
ARB,2009,71.8728873
ARB,2008,71.45269054
ARB,2007,71.25552369
ARB,2006,70.89607739
ARB,2005,70.44006398
ARB,2004,70.13519056
ARB,2003,69.98985934
ARB,2002,69.94063602
ARB,2001,69.62661383
ARB,2000,69.30685403
ARB,1999,68.80754305
ARB,1998,67.92299102
ARB,1997,68.05065772
ARB,1996,67.74203136
ARB,1995,67.42104921
ARB,1994,67.39938491
ARB,1993,66.50702809
ARB,1992,65.5180655
ARB,1991,65.25927057
ARB,1990,65.23031114
ARB,1989,64.75469188
ARB,1988,63.41904927
ARB,1987,63.69471617
ARB,1986,63.76057058
ARB,1985,62.58253191
ARB,1984,61.85974227
ARB,1983,61.17476414
ARB,1982,60.45265385
ARB,1981,59.93130576
ARB,1980,59.33439076
ARB,1979,58.5506026
ARB,1978,57.8247871
ARB,1977,57.06173226
ARB,1976,55.86387192
ARB,1975,55.59563669
ARB,1974,54.93115654
ARB,1973,54.32706158
ARB,1972,53.54281073
ARB,1971,52.99843083
ARB,1970,52.10067729
ARB,1969,51.58727277
ARB,1968,51.15068505
ARB,1967,50.68398962
ARB,1966,50.15837301
ARB,1965,49.86999258
ARB,1964,49.50871256
ARB,1963,48.65304371
ARB,1962,47.96975653
ARB,1961,47.45747215
ARB,1960,46.7419817
CSS,2021,73.84041187
CSS,2020,75.46718843
CSS,2019,75.34323536
CSS,2018,75.46946751
CSS,2017,75.40336903
CSS,2016,75.29924644
CSS,2015,75.22210186
CSS,2014,75.10188824
CSS,2013,75.08112186
CSS,2012,75.07392543
CSS,2011,75.0355648
CSS,2010,74.82272253
CSS,2009,74.65972863
CSS,2008,73.91689049
CSS,2007,73.81471321
CSS,2006,73.60585833
CSS,2005,73.52529807
CSS,2004,73.25027561
CSS,2003,72.64982686
CSS,2002,72.81162457
CSS,2001,72.3225751
CSS,2000,72.10788328
CSS,1999,71.78234958
CSS,1998,71.93953971
CSS,1997,71.68540735
CSS,1996,71.99546979
CSS,1995,71.79908601
CSS,1994,71.78686311
CSS,1993,71.72716507
CSS,1992,71.63284502
CSS,1991,71.68133078
CSS,1990,71.39614966
CSS,1989,71.41837213
CSS,1988,70.97499944
CSS,1987,70.8694593
CSS,1986,70.59130135
CSS,1985,70.28114652
CSS,1984,70.16335509
CSS,1983,69.99483285
CSS,1982,69.98849041
CSS,1981,69.65204129
CSS,1980,69.41970796
CSS,1979,69.24007109
CSS,1978,68.93003827
CSS,1977,68.70513639
CSS,1976,68.67093598
CSS,1975,68.50619612
CSS,1974,68.21604303
CSS,1973,67.82098379
